"ride_hour","rider_type","total_rides"
"6","casual","25687"
"6","member","99147"
"7","casual","47920"
"7","member","196378"
"8","casual","68005"
"8","member","252028"
"9","casual","68269"
"9","member","163897"
"10","casual","82435"
"10","member","141030"
"11","casual","105309"
"11","member","165359"
"12","casual","123703"
"12","member","186818"
"13","casual","126719"
"13","member","181952"
"14","casual","133225"
"14","member","184810"
"15","casual","148043"
"15","member","232958"
"16","casual","168769"
"16","member","328629"
"17","casual","183266"
"17","member","375137"
"18","casual","156905"
"18","member","290123"
"19","casual","116404"
"19","member","200339"
"20","casual","83791"
"20","member","138363"
"21","casual","71206"
"21","member","107970"
"22","casual","59971"
"22","member","78618"
