"start_station_name","ride_count","rider_type"
"Kingsbury St & Kinzie St","30887","member"
"DuSable Lake Shore Dr & Monroe St","30706","casual"
"Navy Pier","26937","casual"
"Clinton St & Washington Blvd","25298","member"
"Streeter Dr & Grand Ave","23284","casual"
"Michigan Ave & Oak St","22054","casual"
"Canal St & Madison St","21837","member"
"Clinton St & Madison St","21818","member"
"Clark St & Elm St","20602","member"
"DuSable Lake Shore Dr & North Blvd","19023","casual"
"State St & Chicago Ave","18822","member"
"Millennium Park","18718","casual"
"Wells St & Elm St","18663","member"
"Wells St & Concord Ln","18103","member"
"Clinton St & Jackson Blvd","18034","member"
"Wells St & Huron St","17633","member"
"Canal St & Adams St","16797","member"
"Shedd Aquarium","16519","casual"
"University Ave & 57th St","16154","member"
"Daley Center Plaza","15467","member"
"Theater on the Lake","15447","casual"
"Dusable Harbor","15373","casual"
"Kingsbury St & Erie St","15357","member"
"Desplaines St & Kinzie St","15312","member"
"Larrabee St & Kingsbury St","14869","member"
"Wells St & Hubbard St","14733","member"
"Dearborn St & Erie St","14722","member"
"Orleans St & Merchandise Mart Plaza","14461","member"
"Dearborn Pkwy & Delaware Pl","14431","member"
"Clark St & Armitage Ave","14414","member"
"McClurg Ct & Ohio St","14177","member"
"DuSable Lake Shore Dr & North Blvd","14154","member"
"Clinton St & Lake St","14098","member"
"Wilton Ave & Belmont Ave","13977","member"
"Ellis Ave & 60th St","13661","member"
"Clark St & Lincoln Ave","13610","member"
"Columbus Dr & Randolph St","13427","member"
"Ravenswood Ave & Lawrence Ave","13322","member"
"Ellis Ave & 55th St","13319","member"
"Franklin St & Monroe St","13229","member"
"Clark St & Lake St","13144","member"
"Broadway & Cornelia Ave","13094","member"
"Broadway & Waveland Ave","13048","member"
"Wabash Ave & Grand Ave","13034","member"
"Green St & Madison St","12567","member"
"Michigan Ave & Oak St","12517","member"
"Michigan Ave & Washington St","12410","member"
"Indiana Ave & Roosevelt Rd","12369","member"
"LaSalle St & Illinois St","11989","member"
"Halsted St & Clybourn Ave","11932","member"
"Broadway & Barry Ave","11925","member"
"New St & Illinois St","11808","member"
"Clark St & Wrightwood Ave","11726","member"
"Lincoln Ave & Fullerton Ave","11670","member"
"Wabash Ave & Roosevelt Rd","11667","member"
"Southport Ave & Waveland Ave","11551","member"
"Theater on the Lake","11452","member"
"Federal St & Polk St","11383","member"
"Sheffield Ave & Fullerton Ave","11328","member"
"St. Clair St & Erie St","11102","member"
"Michigan Ave & 8th St","11009","casual"
"LaSalle St & Jackson Blvd","10890","member"
"Michigan Ave & Lake St","10852","member"
"DuSable Lake Shore Dr & Diversey Pkwy","10703","member"
"Pine Grove Ave & Waveland Ave","10702","member"
"Dearborn St & Monroe St","10614","member"
"Sedgwick St & Huron St","10512","member"
"Montrose Harbor","10340","casual"
"Franklin St & Jackson Blvd","10305","member"
"Clark St & Schiller St","10114","member"
"Clark St & Drummond Pl","10039","member"
"Franklin St & Lake St","10002","member"
"Fairbanks Ct & Grand Ave","9976","member"
"Aberdeen St & Jackson Blvd","9955","member"
"Adler Planetarium","9897","casual"
"Loomis St & Lexington St","9858","member"
"Kimbark Ave & 53rd St","9808","member"
"Field Museum","9808","casual"
"Clarendon Ave & Gordon Ter","9679","member"
"Canal St & Jackson Blvd","9667","member"
"McClurg Ct & Erie St","9598","member"
"Broadway & Sheridan Rd","9574","member"
"Ashland Ave & Division St","9564","member"
"Rush St & Cedar St","9562","member"
"Peoria St & Jackson Blvd","9519","member"
"Southport Ave & Roscoe St","9485","member"
"Lakeview Ave & Fullerton Pkwy","9455","member"
"Pine Grove Ave & Irving Park Rd","9449","member"
"Larrabee St & Webster Ave","9429","member"
"Wells St & Walton St","9402","member"
"Halsted St & Roscoe St","9399","member"
"Michigan Ave & Washington St","9329","casual"
"Sheridan Rd & Irving Park Rd","9301","member"
"Kingsbury St & Kinzie St","9273","casual"
"Clark St & Newport St","9273","member"
"Clark St & Lincoln Ave","9250","casual"
